vinho,preço,comentário_do_sommelier,uva,país,região,classificação,vinícola,teor_alcoólico,temperatura_de_serviço,olfativo,visual,gustativo,harmonização
Atrevida Cabernet Sauvignon 2019,94.0,atrevida cabernet sauvignon proveniente vinhedos anos instalados sul vale uco região dias ensolarados noites frias frias toda mendoza,cabernet sauvignon,argentina,mendoza,seco,manos negras,13.9,14.0,groselha vermelha ervas frescas especiarias doces,rubi intenso,textura rica cheia taninos presentes final persistente,churrasco risoto filé champignons lasanha calabresa penne molho funghi pizza tomate seco provolone queijos semiduros
Viña Sol Original D.O. Catalunya 2019,94.0,viña sol linha traz pureza frescor vinhos mediterrâneo elaborado renomada vinícola miguel torres região produtora cava vinho belíssima acidez paladar além disso vinho adequado veganos,garnacha blanca parellada,espanha,catalunya,seco,miguel torres,12.0,8.0,notas flores frutas cítricas,amarelo claro,fresco delicado acidez sutil,risoto frutos mar espetinho camarão massas burrata saladas
Quinta Las Cabras Reserva Chardonnay 2021,94.0,linha vinhos finos quinta las cabras homenagem modo vida primeiras famílias passado las cabras região localizada peumo denominação origem valle cachapoal quintas mansões familiares onde incontáveis histórias escritas diferentes gerações viviam apaixonadas terra onde começaram elaboração vinho aqui chardonnay destaca passagem barrica borras conferindo cremosidade complexidade aromática vinho,chardonnay,chile,valle del cachapoal,seco,viña la rosa,12.0,8.0,notas abacaxi peras toque baunilha,amarelo palha,fresco frutado profundo final longo,lombo porco molho abacaxi filé peixe crosta castanha penne molho branco
Cuatro Rayas Cuarenta Vendimias Selección Especial D.O. Rueda Verdejo 2019,94.0,reconhecimento enólogo vinícola trabalha lá colheitas vinhas novas produção deste vinho anos bodega cuatro rayas adegas antigas fundadora denominação origem rueda trabalham todas vinhas sob premissa cuidar meio ambiente sustentabilidade apoiando famílias pertencem vinícola vinho premiado medalha bronze decanter world wine awards medalha bronze iwsc mostra autenticidade verdejo neste terroir notas frutas cítricas acidez marcante vinho adequado veganos,verdejo,espanha,rueda,seco,bodega cuatro rayas,13.0,8.0,aromas frutas cítricas toque herbáceo,amarelo claro reflexos esverdeados,boa acidez refrescante frutado final longo,frango grelhado ervas finas cogumelos salteados manteiga fettuccine molho quatro queijos
Cuatro Rayas Vendimia Noturna D.O. Rueda Verdejo 2019,94.0,bodega cuatro rayas adegas antigas fundadora denominação origem rueda trabalham todas vinhas sob premissa cuidar meio ambiente sustentabilidade apoiando famílias pertencem vinícola cuatro rayas enclave onde convergem quatro populações la seca medina del campo rodilana rueda tradição vinho colhem noite preservar características organolépticas uvas sendo pioneiros realização desta prática pts wine spectator medalha bronze decanter world wine awards pts wine enthusiast medalha bronze iwsc pontos guia peñin medalha ouro berliner wein trophy medalha prata mundus vini exemplar envolvente marcante aromas paladar além adequado veganos,verdejo,espanha,rueda,seco,bodega cuatro rayas,13.0,8.0,aromas expressivos frutas cítricas lima limão,amarelo claro reflexos esverdeados,frutado refrescante acidez equilibrada,risoto limão siciliano abobrinha gratinada salmão grelhado alecrim
Maison Foucher Le Champ Vallin A.O.C. Touraine Rouge 2019,94.0,elaborado denominação origem touraine localizada val loire frança exemplar mescla variedades cabernet franc gamay cultivadas nessa região,cabernet franc gamay,frança,val de loire,seco,maison foucher,12.0,15.0,frutas vermelhas nuance defumada ervas,rubi,leve boa acidez taninos macios,escondidinho espaguete sugo lasanha berinjela queijo filé frango grelhado legumes risoto queijo polpetone
Finca las Hornias Verdejo Viura 2019,94.0,família viticultores desde comercializa uvas região rueda construíram própria vinícola hoje detém melhores produções vinho região vinhas próprias idade anos resultam vinhos complexos estruturados,verdejo viura,espanha,rueda,seco,bodega valdehermoso,13.0,9.0,frutas tropicais abacaxi nota ligeiramente herbácea,amarelo palha,boa estrutura fresco frutado termina amargo picante característicos casta verdejo,guacamole salmão defumado ceviche maça verde tirinhas frango empanado peixes grelhados
Michel Lynch A.O.C. Bordeaux Rouge 2018,105.77,vinho presta homenagem michel lynch nome intimamente ligado grandes vinhos bordeaux elaborado merlot cabernet sauvignon seleção uvas nobres vinhedo bordeaux colhidas maturidade cuidadosamente vinificadas durante vindima cascas grossas uvas tintas deram taninos maduros carnudos equilíbrio açúcar acidez notável dá safra rica bonita boca descobrimos vinho cheio macio notas frutos pretos especiarias final longo sedoso michel lynch vinho elegante frutado reflexo perfeito rico terroir prestigiados mundo,merlot cabernet sauvignon,frança,bordeaux,seco,jeanmichel cazes,13.0,15.0,frutas pretas cereja groselha especiarias toque floral,rubi intenso,corpo médio frutado volumoso taninos maduros acidez média alta proporciona agradável frescor final longo sedoso,opte pratos média estrutura carnes brancas assadas cozidas grelhadas carnes brancas intensas molhos base tomate especiarias queijos dicas assado lombo suíno parmegiana risoto parmesão tomate seco
Sella & Mosca I Piani Nuraghe Majore,94.0,vinho elaborado variedades uvas desde fundação vinícola nuraghe majore hoje sella mosca continua honrando mesmas uvas brancas fazer vinhos refrescantes conhecidos igt denominação origem itália todo vinho italiano esbanja boa acidez frescor ideal momentos descontraídos pratos leves,uvas nativas,itália,sardegna,seco,sella & mosca,11.5,9.0,flores brancas frutas cítricas,reflexos esverdeados,jovem refrescante boa acidez,tilápia assada folha bananeira isca frango frutos mar salada caprese assado brócolis quinoa
Baron Philippe de Rothschild Mas Andes Reserva Cabernet Sauv. 2020,94.0,andes reserva linha renomada vinícola baron philippe rothschild vinícola vinhas chile frança desenvolve vinhos reconhecidos equilíbrio qualidade autenticidade exemplar elaborado uva cabernet sauvignon rainha uvas tintas amada brasileiros breve passagem barricas proporcionou arredondar taninos corpo aromas sabores vinho surpreendente intensidade paladar taninos presentes expressivamente frutado aromas sabores vinícola ganhou certificado vinícola sustentável devido ações tomadas reduzir resíduos ambiente vinho elaborado seguindo práticas veganas recebeu pontos james suckling,cabernet sauvignon,chile,valle central,seco,baron philippe de rothschild,13.5,16.0,frutas vermelhas cereja framboesa especiarias toques herbáceos,rubi intenso,corpo médio encorpado frutado nuances especiarias taninos presentes acidez média bom frescor,opte pratos média estrutura carnes vermelhas assadas cozidas carnes brancas intensas molhos base especiarias tomate queijos dicas bife milanesa fraldinha farofa berinjela parmegiana
Baron Philippe de Rothschild Mas Andes Reserva Carménère 2020,94.0,andes reserva linha renomada vinícola baron philippe rothschild vinícola vinhas chile frança desenvolve vinhos reconhecidos equilíbrio qualidade autenticidade exemplar elaborado uva carménère escolhida parcelas cuidadosamente selecionadas acordo bom desenvolvimento parte veio norte outra parte sul valle central garantiu seleção uvas alta qualidade logo gerou vinho equilibrado destaque vinho frutado aromas sabores macio paladar descomplicado vinícola ganhou certificado vinícola sustentável devido ações tomadas reduzir resíduos ambiente vinho elaborado seguindo práticas veganas,carménère,chile,valle central,seco,baron philippe de rothschild,14.0,16.0,frutas pretas especiarias toques herbáceos café leve tostado,rubi,vinho jovem corpo médio frutado nuances especiarias equilibrado taninos firmes média acidez,opte pratos média estrutura carnes vermelhas assadas cozidas grelhadas carnes brancas intensas molhos base tomate especiarias queijos dicas carne panela arroz carreteiro nhoque mandioquinha creme cogumelos
Hielo Sur Secret Blend Rosé D.O. Valle de Colchagua 2021,94.0,vinhedo la roblería localizado vale colchagua composto cerca hectares vinhedos plantados encostas irrigados sistema irrigação gotejamento água poços profundos vale colchagua reconhecido excelentes vinhos syrah exemplar elaborado ventisquero traz secret blend mínimo curioso syrah uva tinta sauvignon blanc uva branca características ambas encontram vinho aromático expressivo bom volume vinícola conhecida paixão elaborar vinhos qualidade respeito meio ambiente utilizando práticas sustentáveis,syrah sauvignon blanc,chile,valle de colchagua,meio seco,viña ventisquero,12.5,10.0,intensidade aromática notas frutas vermelhas morango framboesa,rosa claro,fresco frutado suculento,bobó camarão galinhada chili vegetariano
Navaldar D.O.Ca Rioja Rosado 2020,94.0,bodegas mateos foco produção vinhos alta qualidade personalidade rosé produzido partir garnacha vinho bem elaborado saboroso frescor típico região boa acidez intensidade esbanja aromas frutas vermelhas,garnacha,espanha,rioja,seco,bodegas d. mateos,12.5,9.0,notas sutis vegetais fresco intenso frutado framboesa morango groselha,salmão claro,perfeito equilíbrio fruta acidez final delicado,peixes secos arrozes guisados verduras grelhadas cozinha oriental
Altemura Àpulo I.G.T. Salento Fiano 2020,115.18,embora famosa itália fiano pouco conhecida aqui plantada região campânia puglia uva branca peculiar amadurecimento médio resulta vinhos ricos vigorosos textura cerosa boa capacidade envelhecimento garrafa exemplar trará versão jovem notas mel frutas damasco bom corpo leve untuosidade boca,fiano outras uvas nativas,itália,salento,seco,masseria altemura,12.5,10.0,amplo bouquet notas pêssego casca limão flor laranjeira jasmim,reflexos esverdeados,frutado suculento fresco boa acidez,salada lagosta camarão tagliatelle molho limão siciliano frango grelhado fatias abobrinha gratinadas
Louis Chevallier A.O.C. Coteaux Bourguignons 2020,105.77,vinho elaborado bourgogne frança traz apenas única estrela gamay uva nativa local origem desse vinho alimentar expectativa quanto rótulo podemos dizer esbanja sabor exemplar leve boa acidez taninos macios,gamay,frança,coteaux bourguignons,seco,louis chevallier,13.0,14.0,intensos aromas frutas vermelhas sutil nota baunilha,rubi brilhante,vinho jovem leve frutado taninos macios final refrescante,lasanha berinjela salmão grelhado espaguete almôndegas salada caeser frango vegetais assados
Louis Chevallier Pinot Noir 2019,105.77,pinot noir produzido sul frança traz todas características desta uva incrível leveza riqueza aromática vinho agrada facilidade versatilidade harmonizar indo carnes vermelhas peixes carne firme bacalhau experimente,pinot noir,frança,languedoc,meio seco,louis chevallier,12.5,15.0,aromas frutas vermelhas cereja sutis notas café grão carvalho,rubi,vinho jovem leve taninos sedosos frutado bom final,vinho combinação perfeita aves vitela peixes ricos salmão
Louis Chevallier Chardonnay 2020,105.77,vins france podem produzidos toda frança usando uvas colhidas exclusivamente dentro fronteiras regra rigorosamente aplicada exemplar produzido uva chardonnay uva arranca suspiros gosta bom vinho branco vinho bem aromático paladar elegante marcante perfeito tomar após longo dia trabalho combinando aperitivos refeições leves,chardonnay,frança,languedoc,seco,louis chevallier,12.5,10.0,aromas complexos frutas cítricas exóticas bem nozes tostadas,amarelo claro,sensação delicada boca vinho leve fresco frutado,acidez frescor desse vinho combina comidas leves dica tilápia molho alcaparras saladas quiche espinafre ricota moqueca legumes
Dancing Flame Villarrica Gran Reserva Roussanne Marsanne 2021,88.12,elaborado vinícola luis felipe edwards exemplar traz uvas brancas roussanne marsanne exemplar elegante macio vibrante uvas selecionadas vinhedos valle colchagua chile exemplar inspirado fogo lava brota desde centro terra através vulcão villarrica ativo chile vinho encantador buquê aromático muita personalidade maciez frescor,roussanne marsanne,chile,valle de colchagua,seco,luis felipe edwards,13.5,12.0,frutado notas pera pêssego toques florais sutis notas mel,amarelo palha,vinho jovem leve frutado equilibrado macio paladar acidez média alta agradável frescor,opte pratos leves carnes brancas frutos mar molhos base azeite manteiga ervas frescas queijos cremosos dicas paella frutos mar pescada creme alcaparras risoto limão siciliano queijo brie cuscuz marroquino
Bonnievale The River Collection Sauvignon Blanc 2021,94.0,bonnievale historicamente torno rio breede fonte vida área vinícola desenvolve cultura inovação colaboração permite cultivo seleção melhores frutas elaboração vinhos vibrantes consistentes prazer confiante fresco crocante sauvignon blanc oferece sabores frutas tropicais equilibrados sutis notas herbáceas,sauvignon blanc,áfrica do sul,bonnievale ward,meio seco,bonnievale wines,13.0,8.0,frutas tropicais notas herbáceas,amarelo claro,fresco frutado acidez crocante,espaguete molho pesto tabule ceviche frutos mar sushi
Bonnievale The River Collection Chenin Blanc 2021,94.0,nome river collection deriva rio breede alimenta vale água irrigação rio própria razão existência bonnievale coração elaboração vinhos premium the river collection excelente exemplo chenin blanc vinho crocante brilhante aromas florais frutados nariz além vibrante surpresa paladar,chenin blanc,áfrica do sul,bonnievale ward,seco,bonnievale wines,13.0,9.0,aromas florais frutas cítricas tropicais,reflexos esverdeado,fresco frutado acidez vibrante,abobrinha recheada camarão salteado arroz bacalhau caesar salad tiras frango
Hoffman Monastrell Rosé 2020,94.0,vinho proveniente vinhas jovens monastrell cultivadas solos calcários pedregosos localizados metros altitude rendimento limitado videira colheita feita manualmente segunda quinzena setembro fermentação feita temperaturas controladas obter maior potencial aromas deste vinho rosé vinho traz versatilidade rosé pode degustado sozinho aperitivo harmonizado diversas receitas,monastrell,espanha,jumilla,meio seco,bodegas alceño,12.0,10.0,notas frutas vermelhas morango flores,rosa claro,intenso final longo boca fruta madura,arroz polvo ceviche salmão ensopado vegetariano curry atum grelhado lombo molho frutas vermelhas
Terra dUro La Enfermera D.O. Toro Tempranillo 2020,123.41,la enfermera grandes vinhos premiada vinícola terra rótulo elaborado uva tempranillo proveniente vinhas anos idade colheita acompanhada perto enólogo queria preservar boa acidez natural uvas cuidado adiciona complexidade aromática sabores vinho exemplar elegante macio paladar complexo aromas sabores,tempranillo,espanha,toro,seco,terra d'uro,14.5,16.0,frutas vermelhas especiarias violeta toque amadeirado,rubi,elegante frutado médio corpo boa acidez taninos macios,vinho corpo médio taninos macios aposte pratos média estrutura dicas maminha forno batatas recheadas queijo shimeji risoto mignon nhoque ragu costela
Tenuta SantAntonio Fontana D.O.C. Soave 2020,123.41,soave doc italiana localizada região vêneto nela produzida grandes vinhos brancos italianos feito principalmente uva garganega agrega estrutura traz notas florais menor escala uva branca trebbiano di soave uva traz vivacidade toques frutados tradicionalmente cultivada região soave gera vinhos aromáticos delicados agradável frescor branco italiano aromas frutas brancas cítricas frescas toque floral nuance mineral boca leve frutado fresco delicado nuance cítrica,trebbiano di soave garganega,itália,veneto,meio seco,tenuta sant'antonio,12.5,8.0,frutas brancas frescas frutas cítricas floral mineral,,vinho jovem leve frutado delicado cítrico refrescante,aposte pratos leves carnes brancas molhos base azeite ervas frescas queijos cremosos dicas abará sobrecoxa recheada queijo moqueca grão bico
I Castelli Romeo e Giulietta D.O.C. Delle Venezie Pinot Grigio Ro 2020,94.0,vinhedos cielo terra rodeiam castelos romeu julieta personagens icônicos romance shakespeare dão nome vinho poucos sabem pinot grigio elabora rosés incríveis através pigmentação casca frescor aromas intensos frutas vermelhas exemplar expandir paladar surpreender,pinot grigio,itália,veneto,meio seco,cielo e terra s.p.a.,12.0,9.0,aromas morango abacaxi toque mineral,rosa claro,leve refrescante frutado,espetinho camarão dadinho tapioca geleia pimenta sanduíche croissant presunto defumado
Finca las Hornias Verdejo 2019,94.0,família viticultores desde comercializa uvas região rueda construíram própria vinícola hoje detém melhores produções vinho região vinhas próprias idade anos resultam vinhos complexos estruturados,verdejo,espanha,rueda,seco,bodega valdehermoso,13.0,9.0,frutas caroço pêssego damasco frutas exóticas carambola notas herbáceas,amarelo reflexos esverdeados,frutado delicado bem equilibrado boca carnudo final frutado herbáceo amargor picância típica verdejo,biscoito polvilho ervas finas nhoque pesto genovese tartar salmão abacate sobrecoxa frango lemon pepper
Espumante Castelo do Sulco,105.76,castelo sulco surge resposta tendência cada vez maior consumo vinhos qualidade consumidores cada vez informados busca propostas melhor relação marca aposta afirmação vinhos lisboa tendo assumido assinatura lisboa garrafa selo qualidade reforçando hype capital vindo registar internacionalmente marca democrática oferta jovens turistas amantes boa gastronomia pouco lisboa dentro garrafa elaborado método tradicional segunda fermentação garrafa espumante traz excelente relação elaborado chardonnay arinto,chardonnay arinto,portugal,lisboa,meio seco,parras wine,12.0,9.0,frutas caroço pêssego delicadas notas florais,amarelo claro reflexos esverdeados,fresco redondo final equilibrado,ostras gratinadas vinho branco mariscos croissant croque monsieur quiche palmito
Antodie I.G.P. Pays dOc Viognier 2020,94.0,exemplar languedoc elaborado viognier região fica próxima mar mediterrâneo influência mar importante vinhas plantadas planície vento permite menos uso produtos químicos vinha adicionando equação dias sol ano vinhos frutados apimentados condição climática fundamental amadurecimento ideal viognier branco saboroso bem aromático,viognier,frança,languedocroussillon,seco,vignobles & compagnie,13.0,9.0,notas florais delicados aromas pêra pêssego,amarelo reflexos dourados,fresco acidez equilibrada frutado,salmão molho maracujá ostras salada tropical focaccia ervas
Ossa Reserva Regional Alentejano Rosé 2020,94.0,sopé serra d ossa redondo considerado muitos região melhor define alentejo clássico genuíno terroir onde elaborado vinho ossa reserva rosé produzido partir castas autóctones touriga nacional aragonez castelão solos xisto vermelho vinho perfil moderno elegantes notas florais frutadas,touriga nacional aragonez castelão,portugal,alentejo,seco,ségur estates,12.5,10.0,notas flores silvestres framboesas ervas aromáticas toque fumo,rosa claro,cremoso fresco elegante,arroz mariscos moqueca grão bico acarajé vegano
Lujanita Rosé Malbec 2021,94.0,lujanita rosé malbec feito uvas vale uco região reconhecida mundialmente potencial inovador altitudes variam metros acima nível mar vinhedos premiados oferecem condições únicas desenvolvimento videiras safra longa fria resultando vinhos frescos delicados acidez álcool harmonia fáceis beber jovens,malbec,argentina,valle de uco,seco,susana balbo wines,14.0,10.0,aromas expressivos frutas vermelhas,rosa claro,equilibrado final vibrante,risoto tomate seco mussarela búfala tartine presunto cru queijo brie salmão grelhado
Quinta Las Cabras Rosé 2021,94.0,linha vinhos finos quinta las cabras homenagem modo vida primeiras famílias passado las cabras região localizada peumo denominação origem valle cachapoal quintas mansões familiares onde incontáveis histórias escritas diferentes gerações viviam apaixonadas terra onde começaram elaboração vinho blend principais uvas tintas região cabernet franc syrah malbec pinot noir toque aromática pinot grigio passa tempo contato borras ganhando volume boca nuances perfumadas,cabernet franc syrah pinot grigio malbec pinot noir,chile,valle de cachapoal,seco,viña la rosa,12.0,10.0,aromas morangos silvestres notas cerejas vermelhas pétalas rosa,rosa intenso,volumoso boca textura sedosa corpo fresco acabamento longo,anéis lula salteados manteiga frango assado ervas legumes panqueca tomate seco rúcula pesto
Baron Philippe de Rothschild Mas Andes Reserva Merlot 2018,94.0,excelente exemplar merlot chile casta deu certo neste terroir tinto aromático elegante vinho novo mundo essência melhor frança,merlot,chile,valle central,seco,baron philippe de rothschild,13.0,15.0,frutas negras leve tostado,rubi intenso,bom corpo acidez equilibrada final frutado,frango assado batatas pizza calabresa isca filé mix queijos bisteca porco acebolada
Dancing Flame Villarrica Gran Reserva Shiraz 2020,88.12,elaborado vinícola luis felipe edwards valle colchagua chile exemplar traz uva shiraz toda potência elegância maestria inspiração fogo lava brota desde centro terra através vulcão villarrica ativo chile exemplar encorpado taninos maduros explosão sabores sensações,shiraz,chile,valle de colchagua,seco,luis felipe edwards,14.0,17.0,frutas negras cassis amoras especiarias toques café especiarias,vermelho intenso,encorpado bem estruturado frutado nuances especiarias taninos maduros final longo agradável,opte comidas estruturadas carnes vermelhas assadas ensopadas defumadas molhos intensos base tomate especiarias queijos duros dicas costela molho barbecue pappardelle ragu carne temperada noz moscada quibe forno berinjela queijo especiarias
La Linda Malbec 2022,94.0,centenária bodega luigi bosca destaca assunto produção vinhos malbec desde fundação lema grande vinho pode ter origem terroir excepcional deve expressar forma pura todas virtudes naturais encapsuladas uvas exemplar expressa excelência características uva malbec terroir lujan cuyo mendoza argentina amadurecimento cubas inox cimento arredondar vinho manter características naturais uva garantir bom frescor la linda malbec queridinha brasileiros vinho aromas refinados frutado suculento textura macia elegante agradável frescor deixa vontade quero cultivadas métodos orgânicos biodinâmicos vinhos adequados veganos,malbec,argentina,luján de cuyo,seco,luigi bosca,14.1,16.0,aromas frutas pretas ameixas cerejas violeta especiarias,rubi intenso reflexos violáceos,médio corpo frutado suculento taninos macios acidez média refrescante final longo agradável,opte pratos média estrutura carnes vermelhas assadas cozidas carnes brancas intensas molhos base tomate especiarias queijos dicas frango molho pequi bife ancho grelhado azeite ervas lasanha berinjela queijo parmesão
Ariki Pequeñas Producciones D.O Valle del Rapel Cabernet Sauvignon 202,94.9,bodegas tagua tagua vinícola centenária produz vinhos gerações denominação origem vale rapel região grande amplitude térmica contribui lenta maturação uvas preservando acidez concentrando nutrientes aromas sabores destaque produtivo deste vale fica conta tintas cabernet sauvignon merlot escolhidas fazer parte projeto pequenas produções preza baixos rendimentos vinhedos cultivo uvas qualidade superior consequentemente vinhos maior identidade breve passagem carvalho ressalta caráter frutado acidez vibrante vinhos,cabernet sauvignon,chile,valle del rapel,seco,bodegas tagua tagua,13.5,16.0,cereja preta café tabaco,rubi violáceo,boa acidez taninos marcantes acabamento longo suave,caldo mocotó carne ensopada pizza cogumelos
Bodegas y Viñedos Calle Larga Malbec 2021,64.59,vinhedos chegam metros altura vale uco aumentando exposição solar uvas intensifica coloração concentração taninos grande amplitude térmica região contribui lenta maturação uvas intensificando aromas sabores qualidade superior vai resultar vinhos varietais grande expressão destaque perfil frutado fresco vinho descomplicado bastante gastronômico uva emblemática região,malbec,argentina,valle de uco,seco,uko wines,13.5,16.0,frutas vermelhas ervas frescas,rubi reflexos violáceos,bem equilibrado taninos firmes,pizza presunto parma rúcula grana padano medalhão filé mignon bacon empanada cogumelo queijo
Baron Philippe De Rothschild I.G.P Pays Doc Sauvignon Blanc 2019,111.65,sul frança coração região redor limoux compreende colcha retalhos oferecendo oportunidades excepcionais produção vinhos expressivos aromáticos,sauvignon blanc,frança,languedocroussillon,seco,baron philippe de rothschild,12.0,10.0,notas frutas cítricas lima limão,,fresco frutado boa acidez,camarões grelhados mexilhões vinho branco truta defumada queijo cabra
Calyptra Vivendo Reserve Sauvignon Blanc 2021,123.41,vivendo reserve linha calyptra vinícola boutique localizada alto cachapoal altitude metros acima nível mar chile fator favorece frescor natural uvas calyptra vinhos produzidos serem únicos autênticos expressando raízes históricas dedicação produção vinhos alto padrão elegantes complexos identidade representam filosofia terroir alto vale cachapoal linha reserva vivendo tida linha entrada calyptra vinhos complexos frescos versáteis frutados envelhecimento barricas potencial envelhecimento interessante exemplar fica meses tanques aço inox sobre borras meses garrafa antes comercializado proporciona vinho expressivo aromas sabores maior cremosidade boca acidez vibrante agradável frescor experiência saborosa refrescante exemplar elaborado seguindo práticas veganas,sauvignon blanc,chile,alto cachapoal,seco,calyptra,13.0,10.0,frutas verdes maçã pera frutas tropicais abacaxi maracujá flores brancas toque cítrico herbáceo mineral,amarelo claro reflexos erverdeados,vinho jovem leve frutado boa cremosidade suculento acidez vibrante agradável frescor final longo,opte pratos leves carnes brancas molhos frutas base azeite ervas frescas queijos cremosos dicas lombo abacaxi peixe grelhado legumes pastel queijo ervas finas nhoque pesto
Baron Philippe de Rothschild I.G.P Pays DOC Cabernet Sauvignon 2019,111.65,sul frança coração produtores vinho baron philippe rothschild selecionaram áreas melhor solo clima cultivo uva cabernet sauvignon região limoux particular oferecendo colcha retalhos micro terroirs escolheram parcelas alta qualidade durante todo ano cada parcela selecionada individualmente monitorada equipe baron philippe rothschild vinho potente,cabernet sauvignon,frança,languedocroussillon,seco,baron philippe de rothschild,13.5,18.0,notas frutas vermelhas negras cereja groselha especiarias,rubi profundo,bom corpo taninos firmes final persistente,charcutaria costela picadinho maminha grelhada batata recheada picanha forno
Le Rosé de S. I.G.P. Méditerranée Rosé 2020,111.65,elaborado indicação geográfica protegida méditerranée abrange algumas regiões provance uvas grenache carignan syrah exemplar destaca elegância desde tonalidade paladar aroma frutas vermelhas frescas pêssego notas florais rosé possui paladar leve frutado boa acidez elegância versatilidade frescor vinho encantador,grenache carignan syrah,frança,provence,seco,famille sumeire,12.5,9.0,frutas vermelhas frescas pêssego toques florais,,vinho jovem leve frutado acidez média alta proporciona excelente frescor,aposte pratos leves carnes brancas molhos base azeite queijos cremosos dicas tilápia grelhada risoto limão siciliano camarões salteados dadinhos tapioca queijo coalho
Las Mercedes Singular Cabernet Sauvignon 2019,99.88,complexidade aromática devido amadurecimento barricas carvalho tinto assinado premiado enólogo julio bouchon eleito dez maiores produtores vinho américa sul renomada revista decanter,cabernet sauvignon,chile,valle del maule,seco,bouchon family wines,13.5,18.0,ameixa madura cereja negra especiarias tabaco café,rubi intenso,frutado taninos presentes médio corpo,maminha crosta especiarias tagliatelle ragu cordeiro picanha brasa risoto queijo costela suína barbecue mix queijos embutidos
La Mora D.O.C.G. Morellino di Scansano 2020,129.29,tinto aromas frutas vermelhas maduras toque floral notas especiarias paladar possui médio corpo frutado taninos macios boa acidez notas florais toque especiarias morellino di scansano estilo moderno elaborado majoritariamente tinta representativa região sangiovese exemplar revela toda expertise cecchi elaborar vinhos italianos premiado medalha ouro concurso berliner wein trophy medalha prata mundus vini,sangiovese uvas nativas,itália,maremma toscana,seco,cecchi,13.0,15.0,frutas vermelhas maduras floral especiarias,rubi,médio corpo frutado taninos macios boa acidez floral especiarias,massa bolonhesa carne assada nhoque ragu cogumelos pizzas variadas tian berinjela galinhada
Calyptra Vivendo Reserve Rosé 2019,123.41,rosé elaborado vinícola boutique calyptra denominação chilena alto cachapoal jovem frutado refrescante vinho agrada facilidade traz versatilidade apreciado sozinho harmonizado,syrah sauvignon blanc,chile,alto cachapoal,seco,calyptra,14.0,10.0,morango cereja framboesa floral,rosa claro,jovem leve frutado acidez presente,moqueca espetinho camarão sushi sashimi torta frango quiche legumes sanduíche peito peru
Calyptra Vivendo Reserve Assemblage 2018,123.41,vivendo reserve linha calyptra vinícola boutique localizada alto cachapoal altitude metros acima nível mar chile fator favorece frescor natural uvas calyptra vinhos produzidos serem únicos autênticos expressando raízes históricas dedicação produção vinhos alto padrão elegantes complexos identidade representam filosofia terroir alto vale cachapoal linha reserva vivendo tida linha entrada calyptra vinhos complexos frescos versáteis frutados potencial envelhecimento interessante safra vinho intenso mescla uvas cabernet sauvignon syrah fica meses tanques aço inox sobre borras agrega maior cremosidade ressalta aromas frescor fica meses garrafa antes comercialização alcançar equilíbrio máximo dependendo safra considerações enólogo emiliano dominguez pode ter pequena porcentagem envelhecimento barricas carvalho francês vinho intenso equilibrado surpreendente recebeu pontos james suckling vinho elaborado práticas veganas,cabernet sauvignon syrah,chile,alto cachapoal,meio seco,calyptra,14.5,16.0,frutas pretas cereja ameixa cassis mirtilo especiarias pimenta preta alcaçuz canela cravo toque herbáceo,rubi profundo,corpo médio encorpado frutado nuances especiarias boa cremosidade taninos presentes macios textura fina acidez média final longo frescor,opte pratos média estrutura carnes vermelhas assadas cozidas grelhadas carnes brancas intensas molhos base tomate especiarias queijos dicas entrecôte crosta ervas nhoque quatro queijos lasanha carne seca gratinada costela suína barbecue
Carpineto D.O.C. Rosso di Montepulciano 2019,129.29,exemplar produzido renomada vinícola italiana carpineto entusiasmo competência produz vinhos desde expressando exemplares amor toscana elaborado rosso di montepulciano comuna italiana localizada região toscana exemplar composto majoritariamente uva sangiovese casta emblemática região vinho perfil jovem leve frutado agradável frescor vinho estilo gastronômico vai acompanhar bem pratos molhos base tomate melhor apreciação vinho ainda jovem prezar caráter frutas frescas agradável frescor,sangiovese canaiolo outras uvas,itália,montepulciano,seco,carpineto,13.0,15.0,frutas vermelhas frescas cereja groselha toque floral folhas secas,rubi claro brilhante,vinho jovem corpo leve médio frutado taninos macios acidez média alta agradável frescor,opte pratos média estrutura carnes vermelhas assadas cozidas carnes brancas intensas molhos base tomate especiarias queijos dicas peru assado recheado farofa canelone bolonhesa lasanha berinjela
Carpineto Dogajolo I.G.T. Toscano Rosato 2021,123.41,dogajolo linha renomada vinícola italiana carpineto compromisso sustentabilidade redução emissão carbono criada movida entusiasmo competência paixão produção vinhos apresentem mundo amor criadores toscana elaborado uvas canaiolo sangiovese rosé italiano possui aromas frutas vermelhas frescas morango groselha associadas toques florais fácil beber exemplar apresenta boa acidez notas frutas ótima versatilidade gastronômica,canaiolo sangiovese,itália,toscana,seco,carpineto,12.5,8.0,frutas vermelhas frescas morango groselha toques florais,rosa claro,vinho jovem leve frutado acidez média alta agradável frescor,opte pratos leves carnes brancas molhos base azeite ervas frescas queijos cremosos dicas bobó camarão penne alho óleo legumes manteiga ervas pernil grelhado
